test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test39,RRT_CONNECT,6,0.0,inf,0
test40,RRT_CONNECT,6,1.30465,94.9807,0
test41,RRT_CONNECT,6,3.60576,93.596,0
test42,RRT_CONNECT,6,0.419181,83.8272,0
test43,RRT_CONNECT,6,1.1133,90.9775,0
test44,RRT_CONNECT,6,4.73042,205.164,0
test45,RRT_CONNECT,6,1.57442,138.025,0
test46,RRT_CONNECT,6,0.400492,106.277,0
test47,RRT_CONNECT,6,1.24579,127.941,0
test48,RRT_CONNECT,6,0.276638,74.8124,0
test49,RRT_CONNECT,6,0.0,inf,0
test20,PRM,6,18.9186,203.255,0
test21,PRM,6,0.0,inf,0
test22,PRM,6,0.0,inf,0
test23,PRM,6,0.0,inf,0
test24,PRM,6,0.0,inf,0
test25,PRM,6,0.0,inf,0
test26,PRM,6,3.20495,192.988,0
test27,PRM,6,41.7814,94.2218,0
test28,PRM,6,0.0,inf,0
test29,PRM,6,0.0,inf,0
test30,PRM,6,0.0,inf,0
test31,PRM,6,0.0,inf,0
test32,PRM,6,0.0,inf,0
test33,PRM,6,0.0,inf,0
test34,PRM,6,0.0,inf,0
test35,PRM,6,0.0,inf,0
test36,PRM,6,0.0,inf,0
test37,PRM,6,0.0,inf,0
test38,PRM,6,0.0,inf,0
test39,PRM,6,0.0,inf,0
test40,PRM,6,0.0207426,24.2779,0
test41,PRM,6,0.0,inf,0
test42,PRM,6,0.0,inf,0
test43,PRM,6,0.0,inf,0
test44,PRM,6,0.0,inf,0
test45,PRM,6,0.0,inf,0
test46,PRM,6,0.0,inf,0
test47,PRM,6,0.0,inf,0
test48,PRM,6,0.0,inf,0
test49,PRM,6,0.0,inf,0
test20,XCBS,6,0.839522,25.4993,12097
test21,XCBS,6,60.0051,inf,744632
test22,XCBS,6,60.0114,inf,880668
test23,XCBS,6,60.0095,inf,807778
test24,XCBS,6,0.722131,33.4405,13446
test25,XCBS,6,60.0042,inf,919299
test26,XCBS,6,60.0297,inf,801700
test27,XCBS,6,1.17829,21.5548,21845
test28,XCBS,6,60.0019,inf,950138
test29,XCBS,6,4.39619,27.0002,71947
test30,XCBS,6,4.23681,29.1295,68240
test31,XCBS,6,60.0204,inf,620923
test32,XCBS,6,60.0355,inf,694870
test33,XCBS,6,60.0251,inf,695155
test34,XCBS,6,60.0293,inf,518318
test35,XCBS,6,60.0194,inf,717153
test36,XCBS,6,60.0197,inf,788734
test37,XCBS,6,13.0971,29.88,190900
test38,XCBS,6,60.0097,inf,872012
test39,XCBS,6,7.80268,34.6448,132136
test40,XCBS,6,60.0124,inf,667447
test41,XCBS,6,9.57386,39.1826,148244
test42,XCBS,6,1.34508,27.4366,23071
test43,XCBS,6,60.0007,inf,924336
test44,XCBS,6,60.0122,inf,752532
test45,XCBS,6,60.0008,inf,879412
test46,XCBS,6,60.0064,inf,817508
test47,XCBS,6,60.0097,inf,792488
test48,XCBS,6,1.82785,32.6202,28530
test49,XCBS,6,8.72682,29.0597,148021
test20,CBS,6,2.54313,25.4993,27224
test21,CBS,6,60.0068,inf,1140514
test22,CBS,6,60.0744,inf,1073877
test23,CBS,6,60.1358,inf,1129264
test24,CBS,6,1.06413,33.4405,22437
test25,CBS,6,60.0424,inf,1297825
test26,CBS,6,60.0607,inf,1257986
test27,CBS,6,1.54669,21.5548,33160
test28,CBS,6,60.085,inf,1263726
test29,CBS,6,60.1802,inf,908022
test30,CBS,6,2.03336,28.9201,44512
test31,CBS,6,60.1496,inf,994455
test32,CBS,6,60.1393,inf,917701
test33,CBS,6,60.1019,inf,823589
test34,CBS,6,60.1461,inf,661664
test35,CBS,6,60.0781,inf,1052913
test36,CBS,6,60.0828,inf,1016322
test37,CBS,6,60.0949,inf,1174161
test38,CBS,6,60.0463,inf,927185
test39,CBS,6,19.7266,34.6448,395260
test40,CBS,6,60.0639,inf,1079494
test41,CBS,6,60.0431,inf,1274725
test42,CBS,6,2.84293,27.4366,59693
test43,CBS,6,60.0986,inf,1193163
test44,CBS,6,60.0858,inf,971028
test45,CBS,6,60.0374,inf,1262321
test46,CBS,6,60.0806,inf,1182829
test47,CBS,6,13.6712,31.6428,286861
test48,CBS,6,5.83812,32.6202,118754
test49,CBS,6,20.844,29.723,407722
test20,CBS_MP,6,3.73041,25.4993,48472
test21,CBS_MP,6,3.47238,28.3616,63860
test22,CBS_MP,6,62.0984,inf,1111653
test23,CBS_MP,6,6.59207,32.7598,119584
test24,CBS_MP,6,0.570233,33.4405,11752
test25,CBS_MP,6,12.1841,27.1399,250447
test26,CBS_MP,6,60.0654,inf,1178277
test27,CBS_MP,6,1.18257,21.5548,25238
test28,CBS_MP,6,68.5027,inf,1465488
test29,CBS_MP,6,23.2528,27.4191,320480
test30,CBS_MP,6,2.91154,28.7805,51628
test31,CBS_MP,6,81.205,inf,1251788
test32,CBS_MP,6,60.0642,inf,793174
test33,CBS_MP,6,52.3445,43.4762,696784
test34,CBS_MP,6,61.5343,inf,733059
test35,CBS_MP,6,60.2055,inf,1005868
test36,CBS_MP,6,60.0395,inf,1089916
test37,CBS_MP,6,26.6404,29.8451,495387
test38,CBS_MP,6,60.4345,inf,1092125
test39,CBS_MP,6,39.0849,35.0986,734546
test40,CBS_MP,6,63.4641,inf,843934
test41,CBS_MP,6,4.89326,39.6364,80133
test42,CBS_MP,6,2.95852,27.4366,55738
test43,CBS_MP,6,60.3995,inf,1127735
test44,CBS_MP,6,2.4773,26.1799,40102
test45,CBS_MP,6,60.3354,inf,1017032
test46,CBS_MP,6,60.0364,inf,993309
test47,CBS_MP,6,60.9968,inf,1086242
test48,CBS_MP,6,2.13901,32.6202,39272
test49,CBS_MP,6,60.3012,inf,875339
test20,DRRT-FIRST,6,4.95668,68.3555,164619
test21,DRRT-FIRST,6,0.0,inf,263029
test22,DRRT-FIRST,6,0.0,inf,738369
test23,DRRT-FIRST,6,0.0,inf,212614
test24,DRRT-FIRST,6,0.0,inf,741345
test25,DRRT-FIRST,6,0.0,inf,212770
test26,DRRT-FIRST,6,7.84296,81.4437,202636
test27,DRRT-FIRST,6,0.0,inf,191018
test28,DRRT-FIRST,6,0.0,inf,229076
test29,DRRT-FIRST,6,0.0,inf,794241
test30,DRRT-FIRST,6,0.0,inf,762087
test31,DRRT-FIRST,6,0.0,inf,262501
test32,DRRT-FIRST,6,0.0,inf,677969
test33,DRRT-FIRST,6,0.0,inf,706213
test34,DRRT-FIRST,6,0.0,inf,721282
test35,DRRT-FIRST,6,0.0,inf,258786
test36,DRRT-FIRST,6,0.0,inf,198382
test37,DRRT-FIRST,6,0.0,inf,407691
test38,DRRT-FIRST,6,0.0,inf,260449
test39,DRRT-FIRST,6,1.58018,63.1832,150409
test40,DRRT-FIRST,6,0.0,inf,690439
test41,DRRT-FIRST,6,29.7196,90.6847,176828
test42,DRRT-FIRST,6,23.3283,75.812,228260
test43,DRRT-FIRST,6,0.0,inf,253702
test44,DRRT-FIRST,6,0.0,inf,775129
test45,DRRT-FIRST,6,0.0,inf,217472
test46,DRRT-FIRST,6,0.0,inf,594148
test47,DRRT-FIRST,6,0.0,inf,230225
test48,DRRT-FIRST,6,0.0,inf,234803
test49,DRRT-FIRST,6,0.0,inf,216721
